刊物简称,Journal,年份,出版社,网址,领域,CCF推荐类别（国际学术刊物/会议）,CCF推荐类型,合并/更名为
TOPLAS,ACM Transactions on Programming Languages and Systems,2019,ACM,http://dblp.uni-trier.de/db/journals/toplas/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,A类,
TOSEM,ACM Transactions on Software Engineering and Methodology,2019,ACM,http://dblp.uni-trier.de/db/journals/tosem/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,A类,
TSE,IEEE Transactions on Software Engineering,2019,IEEE,http://dblp.uni-trier.de/db/journals/tse/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,A类,
ASE,Automated Software Engineering,2019,Springer,http://dblp.uni-trier.de/db/journals/ase/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
ESE,Empirical Software Engineering,2019,Springer,http://dblp.uni-trier.de/db/journals/ese/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
TSC,IEEE Transactions on Services Computing,2019,IEEE,http://dblp.uni-trier.de/db/journals/tsc/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
IETS,IET Software,2019,IET,http://dblp.uni-trier.de/db/journals/iee/index.html,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
IST,Information and Software Technology,2019,Elsevier,http://dblp.uni-trier.de/db/journals/infsof/index.html,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
JFP,Journal of Functional Programming,2019,Cambridge University Press,http://dblp.uni-trier.de/db/journals/jfp/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
,Journal of Software-Evolution and Process,2019,Wiley,http://dblp.uni-trier.de/db/journals/smr/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
JSS,Journal of Systems and Software,2019,Elsevier,http://dblp.uni-trier.de/db/journals/jss/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
RE,Requirements Engineering,2019,Springer,http://dblp.uni-trier.de/db/journals/re/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
SCP,Science of Computer Programming,2019,Elsevier,http://dblp.uni-trier.de/db/journals/scp/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
SoSyM,Software and Systems Modeling,2019,Springer,http://dblp.uni-trier.de/db/journals/sosym/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
STVR,Software Testing Verification & Reliability,2019,Wiley,http://dblp.uni-trier.de/db/journals/stvr/index.html,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
SPE,Software-Practice & Experience,2019,Wiley,http://dblp.uni-trier.de/db/journals/spe/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
CL,"Computer Languages, Systems and Structures",2019,Elsevier,http://dblp.uni-trier.de/db/journals/cl/index.html,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,Journal of Computer Languages
IJSEKE,International Journal of Software Engineering and Knowledge Engineering,2019,World Scientific,http://dblp.uni-trier.de/db/journals/ijseke/index.html,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,
STTT,International Journal on Software Tools for Technology Transfer,2019,Springer,http://dblp.uni-trier.de/db/journals/sttt/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,
JLAP,Journal of Logic and Algebraic Programming,2019,Elsevier,http://dblp.uni-trier.de/db/journals/jlp/jlap.html,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,Journal of Logical and Algebraic Methods in Programming
JWE,Journal of Web Engineering,2019,Rinton Press,http://dblp.uni-trier.de/db/journals/jwe/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,
SOCA,Service Oriented Computing and Applications,2019,Springer,http://dblp.uni-trier.de/db/journals/soca/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,
SQJ,Software Quality Journal,2019,Springer,http://dblp.uni-trier.de/db/journals/sqj/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,
TPLP,Theory and Practice of Logic Programming,2019,Cambridge University Press,http://dblp.uni-trier.de/db/journals/tplp/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,
PLDI,ACM SIGPLAN Symposium on Programming Language Design & Implementation,2019,ACM,http://dblp.uni-trier.de/db/conf/pldi/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,2019,ACM,http://dblp.uni-trier.de/db/conf/popl/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
FSE/ESEC,ACM SIGSOFT Symposium on the Foundation of Software Engineering/ European Software Engineering Conference,2019,ACM,http://dblp.uni-trier.de/db/conf/sigsoft/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
SOSP,ACM Symposium on Operating Systems Principles,2019,ACM,http://dblp.uni-trier.de/db/conf/sosp/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
OOPSLA,"Conference on Object-Oriented Programming Systems, Languages,and Applications",2019,ACM,http://dblp.uni-trier.de/db/conf/oopsla/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
ASE,International Conference on Automated Software Engineering,2019,IEEE/ACM,http://dblp.uni-trier.de/db/conf/kbse/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
ICSE,International Conference on Software Engineering,2019,ACM/IEEE,http://dblp.uni-trier.de/db/conf/icse/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
ISSTA,International Symposium on Software Testing and Analysis,2019,ACM,http://dblp.uni-trier.de/db/conf/issta/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
OSDI,USENIX Symposium on Operating Systems Design and Implementations,2019,USENIX,http://dblp.uni-trier.de/db/conf/osdi/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
ECOOP,European Conference on Object-Oriented Programming,2019,AITO,http://dblp.uni-trier.de/db/conf/ecoop/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
ETAPS,European Joint Conferences on Theory and Practice of Software,2019,Springer,http://dblp.uni-trier.de/db/conf/etaps/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
ICPC,IEEE International Conference on Program Comprehension,2019,IEEE,http://dblp.uni-trier.de/db/conf/iwpc/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
RE,IEEE International Requirements Engineering Conference,2019,IEEE,http://dblp.uni-trier.de/db/conf/re/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
CAiSE,International Conference on Advanced Information Systems Engineering,2019,Springer,http://dblp.uni-trier.de/db/conf/caise/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
ICFP,International Conference on Function Programming,2019,ACM,http://dblp.uni-trier.de/db/conf/icfp/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
LCTES,"International Conference on Languages,Compilers, Tools and Theory for Embedded Systems",2019,ACM,http://dblp.uni-trier.de/db/conf/lctrts/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
MoDELS,International Conference on Model Driven Engineering Languages and Systems,2019,"ACM, IEEE",http://dblp.uni-trier.de/db/conf/models/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
CP,International Conference on Principles and Practice of Constraint Programming,2019,Springer,http://dblp.uni-trier.de/db/conf/cp/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
ICSOC,International Conference on Service Oriented Computing,2019,Springer,http://dblp.uni-trier.de/db/conf/icsoc/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
SANER,"International Conference on Software Analysis, Evolution, and Reengineering",2019,IEEE,http://dblp.uni-trier.de/db/conf/wcre/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
ICSME,International Conference on Software Maintenance and Evolution,2019,IEEE,http://dblp.uni-trier.de/db/conf/icsm/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
VMCAI,"International Conference on Verification,Model Checking, and Abstract Interpretation",2019,Springer,http://dblp.uni-trier.de/db/conf/vmcai/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
ICWS,International Conference on Web Services（Research Track）,2019,IEEE,http://dblp.uni-trier.de/db/conf/icws/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
Middleware,International Middleware Conference,2019,ACM/IFIP/ USENIX,http://dblp.uni-trier.de/db/conf/middleware/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
SAS,International Static Analysis Symposium,2019,Springer,http://dblp.uni-trier.de/db/conf/sas/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
ESEM,International Symposium on Empirical Software Engineering and Measurement,2019,ACM/IEEE,http://dblp.uni-trier.de/db/conf/esem/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
FM,International Symposium on Formal Methods,2019,FME,http://dblp.uni-trier.de/db/conf/fm/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
ISSRE,International Symposium on Software Reliability Engineering,2019,IEEE,http://dblp.uni-trier.de/db/conf/issre/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
HotOS,USENIX Workshop on Hot Topics in Operating Systems,2019,USENIX,http://dblp.uni-trier.de/db/conf/hotos/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,2019,ACM,http://dblp.uni-trier.de/db/conf/pepm/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
PASTE,ACMSIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,2019,ACM,http://dblp.uni-trier.de/db/conf/paste/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
APLAS,Asian Symposium on Programming Languages and Systems,2019,Springer,http://dblp.uni-trier.de/db/conf/aplas/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
APSEC,Asia-Pacific Software Engineering Conference,2019,IEEE,http://dblp.uni-trier.de/db/conf/apsec/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
EASE,Evaluation and Assessment in Software Engineering,2019,ACM,http://dblp.uni-trier.de/db/conf/ease/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
ICECCS,IEEE International Conference on Engineering of Complex Computer Systems,2019,IEEE,http://dblp.uni-trier.de/db/conf/iceccs/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
ICST,"IEEE International Conference on Software Testing, Verification and Validation",2019,IEEE,http://dblp.uni-trier.de/db/conf/icst/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,2019,IEEE,http://dblp.uni-trier.de/db/conf/ispass/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,2019,IEEE,http://dblp.uni-trier.de/db/conf/scam/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
COMPSAC,International Computer Software and Applications Conference,2019,IEEE,http://dblp.uni-trier.de/db/conf/compsac/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
ICFEM,International Conference on Formal Engineering Methods,2019,Springer,http://dblp.uni-trier.de/db/conf/icfem/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
TOOLS,"International Conference on Objects, Models, Components, Patterns",2019,Springer,http://dblp.uni-trier.de/db/conf/tools/index.html,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
SCC,International Conference on Service Computing,2019,IEEE,http://dblp.uni-trier.de/db/conf/IEEEscc/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
ICSSP,International Conference on Software and System Process,2019,ISPA,http://dblp.uni-trier.de/db/conf/ispw/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
SEKE,International Conference on Software Engineering and Knowledge Engineering,2019,KSI,http://dblp.uni-trier.de/db/conf/seke/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
QRS,"International Conference on Software Quality, Reliability and Security",2019,IEEE,http://paris.utdallas.edu/qrs/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
ICSR,International Conference on Software Reuse,2019,Springer,http://dblp.uni-trier.de/db/conf/icsr/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
ICWE,International Conference on Web Engineering,2019,Springer,http://dblp.uni-trier.de/db/conf/icwe/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
SPIN,International SPIN Workshop on Model Checking of Software,2019,Springer,http://dblp.uni-trier.de/db/conf/spin/index.html,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
ATVA,International Symposium on Automated Technology for Verification and Analysis,2019,Springer,http://dblp.uni-trier.de/db/conf/atva/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,2019,Springer,http://dblp.uni-trier.de/db/conf/lopstr/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
TASE,International Symposium on Theoretical Aspects of Software Engineering,2019,IEEE,http://dblp.uni-trier.de/db/conf/tase/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
MSR,Mining Software Repositories,2019,IEEE/ACM,http://dblp.uni-trier.de/db/conf/msr/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
REFSQ,Requirements Engineering: Foundation for Software Quality,2019,Springer,http://dblp.uni-trier.de/db/conf/refsq/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
WICSA,Working IEEE/IFIP Conference on Software Architecture,2019,IEEE,http://dblp.uni-trier.de/db/conf/wicsa/,软件工程/系统软件/程序设计语言,推荐国际学术会议,C类,
JSAC,IEEE Journal on Selected Areas in Communications,2019,IEEE,http://dblp.uni-trier.de/db/journals/jsac/,计算机网络,推荐国际学术刊物,A类,
TMC,IEEE Transactions on Mobile Computing,2019,IEEE,http://dblp.uni-trier.de/db/journals/tmc/,计算机网络,推荐国际学术刊物,A类,
TON,IEEE-ACM Transactions on Networking,2019,IEEE/ACM,http://dblp.uni-trier.de/db/journals/ton/,计算机网络,推荐国际学术刊物,A类,
TOIT,ACM Transactions on Internet Technology,2019,ACM,http://dblp.uni-trier.de/db/journals/toit/,计算机网络,推荐国际学术刊物,B类,
TOMCCAP,ACM Transactions on Multimedia Computing Communications and Applications,2019,ACM,http://dblp.uni-trier.de/db/journals/tomccap/,计算机网络,推荐国际学术刊物,B类,
TOSN,ACM Transactions on Sensor Networks,2019,ACM,http://dblp.uni-trier.de/db/journals/tosn/,计算机网络,推荐国际学术刊物,B类,
CN,Computer Networks,2019,Elsevier,http://dblp.uni-trier.de/db/journals/cn/,计算机网络,推荐国际学术刊物,B类,
TCOM,IEEE Transactions on Communications,2019,IEEE,http://dblp.uni-trier.de/db/journals/tcom/,计算机网络,推荐国际学术刊物,B类,
TWC,IEEE Transactions on Wireless Communications,2019,IEEE,http://dblp.uni-trier.de/db/journals/twc/,计算机网络,推荐国际学术刊物,B类,
,Ad hoc Networks,2019,Elsevier,http://dblp.uni-trier.de/db/journals/adhoc/,计算机网络,推荐国际学术刊物,C类,
CC,Computer Communications,2019,Elsevier,http://dblp.uni-trier.de/db/journals/comcom/,计算机网络,推荐国际学术刊物,C类,
TNSM,IEEE Transactions on Network and Service Management,2019,IEEE,http://dblp.uni-trier.de/db/journals/tnsm/,计算机网络,推荐国际学术刊物,C类,
,IET Communications,2019,IET,http://dblp.uni-trier.de/db/journals/iet-com/,计算机网络,推荐国际学术刊物,C类,
JNCA,Journal of Network and Computer Applications,2019,Elsevier,http://dblp.uni-trier.de/db/journals/jnca/,计算机网络,推荐国际学术刊物,C类,
MONET,Mobile Networks & Applications,2019,Springer,http://dblp.uni-trier.de/db/journals/monet/,计算机网络,推荐国际学术刊物,C类,
,Networks,2019,Wiley,http://dblp.uni-trier.de/db/journals/networks/,计算机网络,推荐国际学术刊物,C类,
PPNA,Peer-to-Peer Networking and Applications,2019,Springer,http://dblp.uni-trier.de/db/journals/ppna/,计算机网络,推荐国际学术刊物,C类,
WCMC,Wireless Communications & Mobile Computing,2019,Wiley.,http://dblp.uni-trier.de/db/journals/wicomm/,计算机网络,推荐国际学术刊物,C类,
,Wireless Networks,2019,Springer,http://dblp.uni-trier.de/db/journals/winet/,计算机网络,推荐国际学术刊物,C类,
SIGCOMM,"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",2019,ACM,http://dblp.uni-trier.de/db/conf/sigcomm/index.html,计算机网络,推荐国际学术会议,A类,
MobiCom,ACM International Conference on Mobile Computing and Networking,2019,ACM,http://dblp.uni-trier.de/db/conf/mobicom/,计算机网络,推荐国际学术会议,A类,
INFOCOM,IEEE International Conference on Computer Communications,2019,IEEE,http://dblp.uni-trier.de/db/conf/infocom/,计算机网络,推荐国际学术会议,A类,
NSDI,Symposium on Network System Design and Implementation,2019,USENIX,http://dblp.uni-trier.de/db/conf/nsdi/,计算机网络,推荐国际学术会议,A类,
SenSys,ACM Conference on Embedded Networked Sensor Systems,2019,ACM,http://dblp.uni-trier.de/db/conf/sensys/,计算机网络,推荐国际学术会议,B类,
CoNEXT,ACM International Conference on emerging Networking EXperiments and Technologies,2019,ACM,http://dblp.uni-trier.de/db/conf/conext/,计算机网络,推荐国际学术会议,B类,
SECON,IEEE Communications Society Conference on Sensor and Ad Hoc Communications and Networks,2019,IEEE,http://dblp.uni-trier.de/db/conf/secon/,计算机网络,推荐国际学术会议,B类,
IPSN,International Conference on Information Processing in Sensor Networks,2019,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ipsn/,计算机网络,推荐国际学术会议,B类,
MobiSys,"International Conference on Mobile Systems, Applications, and Services",2019,ACM,http://dblp.uni-trier.de/db/conf/mobisys/,计算机网络,推荐国际学术会议,B类,
ICNP,International Conference on Network Protocols,2019,IEEE,http://dblp.uni-trier.de/db/conf/icnp/,计算机网络,推荐国际学术会议,B类,
MobiHoc,International Symposium on Mobile Ad Hoc Networking and Computing,2019,ACM/IEEE,http://dblp.uni-trier.de/db/conf/mobihoc/,计算机网络,推荐国际学术会议,B类,
NOSSDAV,International Workshop on Network and Operating System Support for Digital Audio and Video,2019,ACM,http://dblp.uni-trier.de/db/conf/nossdav/,计算机网络,推荐国际学术会议,B类,
IWQoS,International Workshop on Quality of Service,2019,IEEE,http://dblp.uni-trier.de/db/conf/iwqos/,计算机网络,推荐国际学术会议,B类,
IMC,Internet Measurement Conference,2019,ACM/USENIX,http://dblp.uni-trier.de/db/conf/imc/,计算机网络,推荐国际学术会议,B类,
ANCS,Architectures for Networking and Communications Systems,2019,ACM/IEEE,http://dblp.uni-trier.de/db/conf/ancs/,计算机网络,推荐国际学术会议,C类,
APNOMS,Asia-Pacific Network Operations and Management Symposium,2019,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/apnoms/,计算机网络,推荐国际学术会议,C类,
FORTE,Formal Techniques for Networked and Distributed Systems,2019,Springer,http://dblp.uni-trier.de/db/conf/forte/,计算机网络,推荐国际学术会议,C类,
LCN,IEEE Conference on Local Computer Networks,2019,IEEE,http://dblp.uni-trier.de/db/conf/lcn/,计算机网络,推荐国际学术会议,C类,
GLOBECOM,IEEE Global Communications Conference,2019,IEEE,http://dblp.uni-trier.de/db/conf/globecom/,计算机网络,推荐国际学术会议,C类,
ICC,IEEE International Conference on Communications,2019,IEEE,http://dblp.uni-trier.de/db/conf/icc/,计算机网络,推荐国际学术会议,C类,
ICCCN,IEEE International Conference on Computer Communications and Networks,2019,IEEE,http://dblp.uni-trier.de/db/conf/icccn/,计算机网络,推荐国际学术会议,C类,
MASS,IEEE International Conference on Mobile Ad-hoc and Sensor Systems,2019,IEEE,http://dblp.uni-trier.de/db/conf/mass/index.html,计算机网络,推荐国际学术会议,C类,
P2P,IEEE International Conference on P2P Computing,2019,IEEE,http://dblp.uni-trier.de/db/conf/p2p/,计算机网络,推荐国际学术会议,C类,
IPCCC,IEEE International Performance Computing and Communications Conference,2019,IEEE,http://dblp.uni-trier.de/db/conf/ipccc/,计算机网络,推荐国际学术会议,C类,
WoWMoM,IEEE International Symposium on a World of Wireless Mobile and Multimedia Networks,2019,IEEE,http://dblp.uni-trier.de/db/conf/wowmom/,计算机网络,推荐国际学术会议,C类,
ISCC,IEEE Symposium on Computers and Communications,2019,IEEE,http://dblp.uni-trier.de/db/conf/iscc/,计算机网络,推荐国际学术会议,C类,
WCNC,IEEE Wireless Communications & Networking Conference,2019,IEEE,http://dblp.uni-trier.de/db/conf/wcnc/,计算机网络,推荐国际学术会议,C类,
Networking,IFIP International Conferences on Networking,2019,IFIP,http://dblp.uni-trier.de/db/conf/networking/index.html,计算机网络,推荐国际学术会议,C类,
IM,IFIP/IEEE International Symposium on Integrated Network Management,2019,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/im/index.html,计算机网络,推荐国际学术会议,C类,
MSN,International Conference on Mobile Ad-hoc and Sensor Networks,2019,IEEE,https://dblp.uni-trier.de/db/conf/msn/,计算机网络,推荐国际学术会议,C类,
MSWiM,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",2019,ACM,http://dblp.uni-trier.de/db/conf/mswim/,计算机网络,推荐国际学术会议,C类,
WASA,"International Conference on Wireless Algorithms, Systems, and Applications",2019,Springer,http://dblp.uni-trier.de/db/conf/wasa/,计算机网络,推荐国际学术会议,C类,
HotNets,The Workshop on Hot Topics in Networks,2019,ACM,http://dblp.uni-trier.de/db/conf/hotnets/,计算机网络,推荐国际学术会议,C类,
TOG,ACM Transactions on Graphics,2019,ACM,http://dblp.uni-trier.de/db/journals/tog/,计算机图形学与多媒体,推荐国际学术刊物,A类,
TIP,IEEE Transactions on Image Processing,2019,IEEE,http://dblp.uni-trier.de/db/journals/tip/,计算机图形学与多媒体,推荐国际学术刊物,A类,
TVCG,IEEE Transactions on Visualization and Computer Graphics,2019,IEEE,http://dblp.uni-trier.de/db/journals/tvcg/,计算机图形学与多媒体,推荐国际学术刊物,A类,
TOMCCAP,ACM Transactions on Multimedia Computing Communications and Applications,2019,ACM,http://dblp.uni-trier.de/db/journals/tomccap/,计算机图形学与多媒体,推荐国际学术刊物,B类,
CAGD,Computer Aided Geometric Design,2019,Elsevier,http://dblp.uni-trier.de/db/journals/cagd/,计算机图形学与多媒体,推荐国际学术刊物,B类,
CGF,Computer Graphics Forum,2019,Wiley,http://dblp.uni-trier.de/db/journals/cgf/,计算机图形学与多媒体,推荐国际学术刊物,B类,
CAD,Computer-Aided Design,2019,Elsevier,http://dblp.uni-trier.de/db/journals/cad/,计算机图形学与多媒体,推荐国际学术刊物,B类,
GM,Graphical Models,2019,Elsevier,http://dblp.uni-trier.de/db/journals/cvgip/,计算机图形学与多媒体,推荐国际学术刊物,B类,
TCSVT,IEEE Transactions on Circuits and Systems for Video Technology,2019,IEEE,http://dblp.uni-trier.de/db/journals/tcsv/,计算机图形学与多媒体,推荐国际学术刊物,B类,
TMM,IEEE Transactions on Multimedia,2019,IEEE,http://dblp.uni-trier.de/db/journals/tmm/,计算机图形学与多媒体,推荐国际学术刊物,B类,
JASA,Journal of The Acoustical Society of America,2019,AIP,http://scitation.aip.org/content/asa/journal/jasa,计算机图形学与多媒体,推荐国际学术刊物,B类,
SIIMS,SIAM Journal on Imaging Sciences,2019,SIAM,http://dblp.uni-trier.de/db/journals/siamis/,计算机图形学与多媒体,推荐国际学术刊物,B类,
Speech Com,Speech Communication,2019,Elsevier,http://dblp.uni-trier.de/db/journals/speech/,计算机图形学与多媒体,推荐国际学术刊物,B类,
CGTA,Computational Geometry-Theory and Applications,2019,Elsevier,http://dblp.uni-trier.de/db/journals/comgeo/,计算机图形学与多媒体,推荐国际学术刊物,C类,
CAVW,Computer Animation and Virtual Worlds,2019,Wiley,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1546-427X,计算机图形学与多媒体,推荐国际学术刊物,C类,
C&G,Computers & Graphics-UK,2019,Elsevier,http://dblp.uni-trier.de/db/journals/cg/,计算机图形学与多媒体,推荐国际学术刊物,C类,
